1,0,0.0035714
2,0.025,0.025
3,0,0.092857
4,0,0.0875
5,0,0.053571
6,0,0.0375
7,0.025,0.048214
8,0,0.021429
9,0,0.058929
10,0,0.042857
11,0.2,0.475
12,0.075,0.37857
13,0,0.11964
14,0.025,0.042857
15,0,0.039286
16,0.6,0.44821
17,0.175,0.24821
18,0,0.0625
19,0,0.11429
20,0.45,0.13929
21,0,0.13929
22,0,0.032143
23,0.025,0.091071
24,0,0.019643
25,0,0.046429
26,0.05,0.073214
27,0.125,0.38036
28,0,0.033929
29,0.025,0.32143
30,0.175,0.19821
31,0,0.0035714
32,0.075,0.14464
33,0.05,0.073214
34,0.025,0.039286
35,0.125,0.31071
36,0,0
37,0.95,0.5875
38,0.325,0.37143
39,0,0
40,0.2,0.19643
41,0,0.064286
42,0,0.030357
43,0.425,0.28214
44,0,0.0053571
45,0.025,0.033929
46,0,0.046429
47,0,0.060714
48,0.775,0.47143
49,0,0.055357
50,0.3,0.275
51,0.1,0.12321
52,0,0.058929
53,0.05,0.042857
54,0,0.041071
55,0.025,0.10179
